;weight;word
0;94.65041667936896;неочень
1;65.80332488599545;факт
2;51.28603382951086;это быть
3;49.13485065060578;ход подготовка
4;43.05835308851139;нежелание
5;36.11663105242093;прийти
6;36.08757843954208;непересекаться в
7;34.29187020489748;функция
8;34.03208766401969;по новый
9;33.59628400262274;кадровый резерв
10;31.96175259344218;я понимать
11;31.76914466646214;данные
12;30.1857569159041;вывод
13;29.057017600415048;задержка
14;27.8686937581941;взаимодействие требовать
15;26.680426955918353;счет
16;26.562483991431943;некорректный
17;26.56059164036338;кросс функциональный
18;25.727279658641894;завершение
19;25.667066486104865;по текущий
20;25.038462487615842;с бизнес
21;24.308300901905127;трудно
22;23.87467013080735;этот год
23;23.460607265917034;приходить на
24;23.056292308575316;действие по
25;23.006711714052646;по поиск
26;22.89459019117;участник
27;22.600076480705834;множество
28;21.59929625740882;режим
29;21.20871846302824;командный подход
30;20.8504736456112;отсутствие
31;20.778777691264107;служба
32;20.338443945495648;улучшать
33;20.202975779149284;реагирование на
34;18.946154179878864;минута
35;18.843672066328462;недостаточный
36;18.403832166726442;крайне
37;18.25095585813582;финансы
38;17.71906706930176;совещание с
39;17.53111778409194;в июль
40;17.205585403957254;неудаваться
41;17.201848742668506;отсутствовать
42;17.078575801520234;нехватить
43;17.06323936694702;перед
44;17.00262560377192;в рамка
45;17.00124427566005;функционал
46;16.547076987181086;позитивный настрой
47;16.35107782199199;дух
48;16.28700525436287;редко
49;16.161645270176386;подключаться к
50;15.950494356940021;в сложный
51;15.78535201680462;возможно
52;15.58662025361292;некоторый
53;15.17416042132916;неполучать
54;15.162095164846795;фонд
55;15.111815786683525;сокращение
56;15.058367786653857;маркетинг
57;14.81808428308394;развиваться
58;14.794343246829882;дискуссия
59;14.629241893533539;поставлять задача
60;14.5126356410058;непонимать
61;14.435425313915632;вопрос который
62;14.392752697032934;пора
63;14.290885464638965;закрытие
64;14.012019079575476;командный взаимодействие
65;13.914681196228097;по мотивация
66;13.703218205966621;московский
67;13.657766904694308;ситуация по
68;13.610126926402549;продвижение
69;13.60179353666259;на просьба
70;13.573714429406936;недостаточно
71;13.511798097814754;что мы
72;13.506972944910206;причина
73;13.499426212506943;готовность к
74;13.307835398737057;уверять
75;12.884420364735606;а также
76;12.839586332280694;получение
77;12.67863701175669;в следующий
78;12.63466361478869;принятие
79;12.627317848529056;осб
80;12.42244539952064;в коммуникация
81;12.407818472317011;говорить
82;12.400653451155582;тесный
83;11.87950719236976;кпки
84;11.834502566010757;централизация
85;11.825539991021278;навстречу
86;11.763983425800966;несколько
87;11.733008071588186;участие во
88;11.686633325236278;в любой
89;11.679925218721218;нерешаться
90;11.657200967341259;круг
91;11.580354874251213;ответ
92;11.481830581110533;вместе с
93;11.340169363707666;обратный связь
94;11.195294211902855;август
95;11.05846371695316;с коллега
96;11.045990369433516;страховой
97;11.025164384122721;учитывать
98;11.005780160476498;тот
99;10.994936781742735;получать обратный
100;10.95614555750882;бы много
101;10.692480872635516;структура тб
102;10.655413522045514;звонок
103;10.62417657831648;что ты
104;10.543006321272298;следовать обсуждать
105;10.504168742700521;непересекаться
106;10.369652850480144;грейд
107;10.318474256676152;на запрос
108;10.273087694470652;действовать
109;10.235149939745432;мой
110;10.21468473027428;согласованный
111;10.155226395185625;через
112;10.137105273940566;жалоба
113;9.984957449067624;к сожаление
114;9.83874171110213;слабый
115;9.744582087011414;сильно
116;9.706019247578336;в частность
117;9.61739101921916;процесс взаимодействие
118;9.593911631897292;уже
119;9.579906377739432;установка
120;9.574923300442869;пилотный
121;9.548580931720506;зона
122;9.465877992360173;особенно
123;9.437534808536768;ни один
124;9.415602615076196;целеполагание
125;9.288043797737362;продуктивно
126;9.165784707714796;индивидуальный
127;9.147673635595032;согласовывать
128;9.138547617661054;услышать
129;9.112922189871384;принимать решение
130;8.995778322841215;готовый помогать
131;8.962266083372409;за обратный
132;8.94652389216222;вопрос организация
133;8.926375756401207;например
134;8.862522534001418;быть вопрос
135;8.826291985668872;спасибо большой
136;8.825318429032231;поручение
137;8.804383718523011;потенциальный
138;8.710672649236189;производственный
139;8.702545511227024;частность
140;8.61784520989829;требовать улучшение
141;8.61240651401828;развитие hr
142;8.549545505536729;сегмент
143;8.385773208018897;подготовить
144;8.233308059905536;исполнение
145;8.168402415671613;двигаться
146;8.1159810024113;оперативность в
147;8.107163544830497;критика
148;8.0929547570843;переформат
149;8.09145320587177;обеспечение
150;7.91767358714803;зеленый
151;7.874074603699288;почти
152;7.82454023030714;впечатление
153;7.788949025993644;роль
154;7.758552597807172;стандарт
155;7.733896797598752;зам
156;7.673783717945847;проблематика
157;7.6509398536086906;она
158;7.602004120458393;настойчивость в
159;7.5995354764434;участвовать
160;7.596911578616889;более
161;7.588281298878675;предложение
162;7.57771321010569;кадровый вопрос
163;7.572551199904806;уважение к
164;7.565628542479402;этот
